houseid,mileage,census_d,census_r,drvrcnt,hhloc,hhsize,hh_0to4,hh_race,msasize,numadult,popdnsty,ref_age,ref_educ,ref_sex,wrkrcnt,hh_5to21,income,ntrip,pur_recr,pur_shop,pur_work,auttrcnt,pur_hbot,pur_nhb,no_trans,urban
1,0,2,1,0,1,2,0,3,5,2,12,60,1,0,1,0,7500,0,0,0,0,0,0,0,0,1
14,64,2,1,2,2,2,0,1,5,2,5,72,1,0,0,0,27500,10,2,2,0,1,4,2,1,1
15,27,2,1,0,2,4,1,2,5,3,10,20,1,0,0,0,40565,4,0,0,0,2,2,2,0,1
16,0,2,1,1,2,2,0,2,5,2,10,34,2,0,1,0,7500,0,0,0,0,2,0,0,0,1
17,12,2,1,2,2,4,0,1,5,2,8,45,2,1,2,2,57500,8,0,0,2,2,6,0,1,1
28,91,2,1,3,2,5,0,1,5,4,8,49,2,1,3,1,40565,21,2,2,6,3,10,1,0,1
30,58,2,1,2,2,4,0,1,5,2,6,41,2,1,1,2,32500,10,0,6,2,2,2,0,1,1
45,16,2,1,1,2,2,0,1,5,2,7,70,2,1,0,0,67500,6,0,6,0,2,0,0,0,1
48,122,2,1,1,2,4,0,1,5,2,6,47,1,1,1,2,52500,12,2,2,3,2,5,0,0,1
49,6,2,1,1,2,2,0,1,5,2,6,73,1,1,1,0,17500,6,0,6,0,2,0,0,0,1
51,38,2,1,5,2,6,0,1,5,5,6,56,1,1,5,1,100000,14,8,0,4,5,0,2,0,1
65,51,2,1,2,2,2,0,1,5,2,5,70,2,1,2,0,32500,6,0,2,2,2,0,2,0,1
78,18,2,1,2,2,2,0,1,5,2,11,49,1,0,2,0,72500,6,0,2,4,2,0,0,0,1
99,47,2,1,1,2,1,0,2,5,1,12,43,1,0,1,0,40565,2,0,0,2,2,0,0,0,1
111,0,2,1,2,2,4,0,1,5,2,10,53,2,1,1,2,37500,0,0,0,0,2,0,0,0,1
116,72,2,1,3,2,4,0,1,5,2,11,45,2,1,3,2,40565,12,2,0,6,3,4,0,0,1
118,23,2,1,1,2,3,0,1,5,2,6,51,1,1,2,1,22500,9,0,2,4,1,2,1,0,1
126,40,2,1,2,2,2,0,3,5,2,11,35,2,0,1,0,27500,2,0,0,0,1,2,0,0,1
141,0,2,1,2,2,3,1,1,5,2,5,38,3,1,1,0,40565,0,0,0,0,2,0,0,1,1
145,14,2,1,2,2,3,0,1,5,2,12,43,1,0,3,1,27500,19,0,0,6,1,8,5,0,1
157,28,2,1,1,2,2,1,3,5,1,8,33,2,0,1,0,22500,9,2,0,1,1,1,5,0,1
201,0,2,1,1,2,3,0,2,5,2,12,32,1,1,0,1,40565,0,0,0,0,0,0,0,0,1
212,102,2,1,2,2,7,0,1,5,2,10,51,2,1,2,5,40565,32,1,3,2,3,22,4,0,1
217,42,2,1,1,2,3,0,1,5,3,4,35,1,0,1,0,40565,4,0,0,2,3,0,2,0,1
229,58,2,1,2,2,4,2,3,5,2,6,34,3,1,1,0,32500,7,0,0,2,2,3,2,1,1
241,146,2,1,2,2,4,2,1,5,2,7,32,3,1,1,0,67500,12,0,1,2,1,5,4,0,1
243,0,2,1,1,2,1,0,1,5,1,7,68,1,0,0,0,40565,0,0,0,0,1,0,0,0,1
259,62,2,1,1,2,1,0,1,5,1,2,29,2,1,1,0,40565,4,0,0,2,1,2,0,1,0
264,3,2,1,2,2,2,0,1,5,2,7,71,1,1,0,0,40565,3,0,0,0,1,2,1,0,1
280,123,2,1,2,2,5,0,1,5,5,3,62,1,1,2,0,22500,7,4,0,2,2,1,0,0,0
282,68,2,1,2,2,3,0,1,5,3,10,21,1,1,2,0,40565,6,2,0,4,1,0,0,0,1
283,122,2,1,1,2,1,0,1,5,1,7,33,1,0,1,0,32500,3,0,0,2,2,0,1,1,1
286,59,2,1,1,2,4,0,1,5,2,10,37,3,1,1,2,100000,7,0,2,2,2,2,1,0,1
289,27,2,1,1,2,3,0,1,5,3,6,50,2,0,1,0,100000,5,0,0,2,4,0,3,0,1
291,60,2,1,0,1,1,0,2,5,1,11,29,1,1,1,0,40565,2,0,0,2,0,0,0,0,1
297,40,2,1,2,2,3,0,1,5,3,6,69,2,0,1,0,27500,8,4,2,2,2,0,0,0,1
298,0,2,1,1,2,1,0,1,5,1,6,73,1,0,0,0,12500,0,0,0,0,1,0,0,0,1
307,70,2,1,3,2,3,0,1,5,2,7,55,2,0,3,1,40565,22,2,0,2,3,7,11,0,1
329,146,2,1,3,2,4,0,3,5,2,7,43,3,1,3,2,100000,13,2,0,6,5,4,1,0,1
331,15,2,1,2,1,4,0,1,5,2,7,34,1,1,2,2,57500,8,0,2,4,2,0,2,0,1
343,173,2,1,2,2,4,2,1,5,2,7,36,2,1,2,0,47500,6,0,0,4,2,2,0,1,1
373,45,5,3,2,1,2,0,2,5,2,12,52,2,0,2,0,57500,10,0,1,2,2,3,4,0,1
389,4,5,3,1,1,1,0,1,5,1,12,31,3,1,1,0,37500,9,0,2,1,0,1,5,0,1
395,460,5,3,3,1,10,3,1,5,4,12,37,2,0,2,3,42500,2,0,0,0,1,2,0,0,1
402,57,5,3,1,2,3,0,2,5,2,9,45,1,0,2,1,42500,16,2,0,4,1,2,8,0,1
405,140,5,3,2,2,2,0,2,5,2,9,65,1,1,2,0,47500,10,0,0,8,3,0,2,0,1
408,3,5,3,1,1,2,0,1,5,1,11,46,2,0,1,1,36153,2,0,0,2,1,0,0,0,1
415,235,5,3,3,2,5,0,1,5,2,3,55,3,1,1,3,72500,23,1,0,0,3,16,6,0,0
431,16,5,3,1,2,1,0,1,5,1,9,42,3,1,1,0,100000,2,0,0,2,1,0,0,0,1
444,15,1,1,1,2,1,0,1,5,1,6,32,2,1,1,0,27500,3,0,0,2,1,0,1,0,1
454,0,1,1,0,1,1,0,1,4,1,10,88,1,0,0,0,43371,0,0,0,0,0,0,0,0,1
474,6,1,1,1,1,1,0,1,4,1,10,74,1,1,0,0,7500,4,2,0,0,1,2,0,1,1
476,48,1,1,2,1,2,0,1,4,2,10,26,2,1,2,0,47500,5,0,0,4,2,0,1,0,1
487,26,1,1,2,2,2,0,1,5,2,6,62,2,1,1,0,43371,4,0,0,2,2,2,0,0,1
505,76,1,1,1,1,4,0,1,4,2,10,39,2,1,1,2,47500,8,0,2,2,2,4,0,0,1
517,33,1,1,1,1,4,0,1,4,2,12,47,1,1,3,2,43371,11,0,2,5,1,3,1,0,1
519,79,1,1,2,2,2,0,1,4,2,10,35,2,1,2,0,47500,5,0,0,4,2,0,1,0,1
540,37,1,1,2,2,4,0,1,4,2,8,42,2,0,0,2,77500,16,5,3,2,2,4,2,0,1
547,0,1,1,1,2,1,0,1,3,1,7,65,1,0,0,0,43371,0,0,0,0,1,0,0,1,1
551,152,1,1,3,1,5,0,1,3,2,7,42,2,1,3,3,57500,3,1,0,2,3,0,0,0,1
552,6,1,1,2,1,3,0,1,3,2,7,50,2,0,0,1,42500,7,0,1,0,1,5,1,0,1
564,145,1,1,2,2,5,0,1,3,3,6,49,2,1,2,2,43371,14,2,1,2,2,7,2,0,1
579,63,1,1,2,2,4,0,1,4,4,4,55,2,1,3,0,43371,7,0,0,2,5,0,5,0,1
590,12,1,1,2,2,5,0,1,3,2,3,42,1,1,2,3,27500,12,2,4,2,2,4,0,1,0
612,84,1,1,4,3,6,0,1,94,2,14,40,2,1,3,4,43371,6,2,0,0,3,4,0,0,0
623,263,1,1,4,2,7,1,1,3,2,8,37,2,0,4,4,62500,22,0,6,2,3,8,6,0,1
638,104,1,1,2,2,3,0,1,5,2,6,44,3,0,1,1,43371,4,0,0,2,2,2,0,0,1
639,25,1,1,1,2,5,0,1,5,4,6,21,2,1,1,1,100000,5,1,0,0,3,3,1,0,1
642,53,1,1,2,2,2,0,1,5,2,6,52,2,1,1,0,43371,8,0,0,2,3,4,2,1,1
648,38,1,1,1,2,3,0,1,5,2,6,46,2,0,1,1,43371,7,0,4,2,3,1,0,0,1
651,3,1,1,1,2,1,0,1,5,1,6,55,3,0,1,0,22500,5,0,1,1,1,0,3,1,1
653,55,1,1,2,2,4,2,1,5,2,6,36,2,1,1,0,37500,12,0,0,0,2,5,7,0,1
665,134,1,1,5,2,5,0,1,5,5,3,60,1,1,3,0,43371,8,0,2,4,4,1,1,1,0
672,14,1,1,2,2,2,0,1,5,2,6,52,1,0,1,0,43371,4,0,0,2,3,2,0,0,1
674,107,1,1,1,2,1,0,1,5,1,6,45,2,0,1,0,43371,5,0,0,1,1,1,3,0,1
684,35,1,1,2,2,2,0,1,5,1,2,42,2,0,1,1,32500,6,0,0,2,2,2,2,1,0
690,0,1,1,2,2,2,0,1,1,2,3,70,1,1,0,0,17500,0,0,0,0,2,0,0,1,0
694,6,1,1,1,2,1,0,1,1,1,3,77,2,0,0,0,22500,2,0,2,0,1,0,0,0,0
698,0,1,1,1,3,1,0,1,94,1,14,88,1,0,0,0,43371,0,0,0,0,0,0,0,0,0
716,212,1,1,3,2,3,0,1,4,2,3,46,1,1,3,1,52500,8,0,2,4,2,2,0,1,0
733,37,1,1,2,2,2,0,1,5,2,3,53,2,1,1,0,57500,4,0,0,2,2,2,0,1,0
739,32,1,1,1,2,1,0,1,3,1,6,43,2,0,1,0,22500,6,0,0,2,1,0,4,0,1
758,34,1,1,3,2,3,0,1,3,2,4,54,2,1,3,1,100000,5,0,0,3,4,1,1,1,1
767,76,1,1,2,3,4,0,1,94,2,4,42,2,0,2,2,43371,15,1,1,2,3,6,5,1,0
